Ax (g),Ay (g),Az (g),Gx (dps),Gy (dps),Gz (dps),Temp (degC),engine_speed (rpm),vehicle_speed (km/h),engine_load (%),throttle_position (%),distance_traveled_mil (km),o2_volt1 (V),o2_volt2 (V),o2_curr1 (A),o2_curr2 (A)
0.0293,  -0.0781,  2.0354,  1.4000,  -5.1800,  0.8400,  21.7266,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0283,  -0.0864,  2.0281,  4.0600,  -12.1800,  0.0000,  21.6953,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0210,  -0.0893,  2.0408,  4.9700,  -5.1800,  -1.8200,  21.7461,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0210,  -0.0825,  2.0394,  4.0600,  -8.6800,  -8.8900,  21.7148,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0215,  -0.0771,  2.0433,  3.2200,  -3.4300,  -5.3200,  21.7148,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0229,  -0.0825,  2.0418,  1.4000,  -7.7700,  -5.3200,  21.7031,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0224,  -0.0810,  2.0374,  0.4900,  -1.6800,  3.5000,  21.7188,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0210,  -0.0834,  2.0315,  6.7200,  -8.6800,  -1.8200,  21.7578,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0205,  -0.0844,  2.0311,  4.0600,  -7.7700,  -2.6600,  21.7383,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0298,  -0.0874,  2.0389,  3.2200,  -13.0200,  -1.8200,  21.6875,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0249,  -0.0864,  2.0350,  -3.9200,  -9.5200,  0.9100,  21.7031,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0259,  -0.0874,  2.0384,  1.4000,  -11.2700,  -6.2300,  21.7031,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0215,  -0.0913,  2.0335,  5.8800,  -13.0200,  0.9100,  21.6875,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0254,  -0.0805,  2.0428,  3.1500,  -9.5200,  0.8400,  21.7070,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0288,  -0.0869,  2.0330,  5.8800,  -9.5200,  -4.4800,  21.7578,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
